month,year,temp,dew,humidity,precip,windspeed,conditions
Aug,2020,26.9,11.7,42.3,0.0,18.1,Partially cloudy
Aug,2020,26.6,13.2,46.6,0.016,33.2,"Rain, Partially cloudy"
Aug,2020,24.6,16.5,64.1,9.044,22.2,"Rain, Partially cloudy"
Aug,2020,27.5,15.5,51.4,0.0,29.5,Partially cloudy
Aug,2020,26.9,15.5,51.3,0.0,29.3,Partially cloudy
Aug,2020,29.7,14.0,42.1,0.0,40.3,Partially cloudy
Aug,2020,30.4,14.2,39.0,0.0,35.0,Partially cloudy
Aug,2020,29.6,14.3,41.3,0.0,37.1,Partially cloudy
Aug,2020,30.1,14.3,40.2,0.0,34.9,Partially cloudy
Aug,2020,30.4,14.6,39.9,0.0,33.2,Partially cloudy
Aug,2020,30.4,13.7,38.4,1.831,40.3,"Rain, Partially cloudy"
Aug,2020,31.8,12.4,32.7,0.0,36.7,Partially cloudy
Aug,2020,32.7,11.5,29.7,0.0,24.2,Partially cloudy
Aug,2020,32.6,10.4,27.4,0.0,47.5,Partially cloudy
Aug,2020,30.8,13.0,36.2,0.0,29.5,Partially cloudy
Aug,2020,27.9,13.1,42.8,0.016,40.5,"Rain, Partially cloudy"
Aug,2020,25.3,12.2,45.7,0.0,25.8,Partially cloudy
Aug,2020,26.3,11.4,42.8,0.0,16.5,Partially cloudy
Aug,2020,27.4,11.5,39.3,0.0,27.6,Partially cloudy
Aug,2020,26.7,10.8,39.0,0.013,38.6,"Rain, Partially cloudy"
Aug,2020,26.2,12.0,43.5,0.0,25.9,Partially cloudy
Aug,2020,27.0,13.6,45.3,0.0,24.0,Clear
Aug,2020,27.4,13.7,45.9,0.0,23.9,Clear
Aug,2020,26.2,10.4,39.2,0.0,25.8,Partially cloudy
Aug,2020,26.0,10.2,39.6,0.0,16.6,Clear
Aug,2020,26.6,9.7,37.7,0.0,20.5,Clear
Aug,2020,28.4,11.8,39.6,0.0,25.8,Clear
Aug,2020,32.0,10.1,28.3,0.0,31.6,Clear
Aug,2020,29.4,13.8,40.0,0.5,29.4,"Rain, Partially cloudy"
Aug,2020,26.8,16.5,61.1,3.79,33.4,"Rain, Partially cloudy"
Aug,2020,26.9,15.0,48.6,0.0,26.0,Partially cloudy
Sep,2020,27.3,16.8,56.9,0.59,33.5,"Rain, Partially cloudy"
Sep,2020,22.9,17.1,72.1,19.853,32.9,"Rain, Partially cloudy"
Sep,2020,25.3,16.1,62.3,0.0,18.5,Clear
Sep,2020,24.7,16.3,63.1,0.0,24.0,Clear
Sep,2020,24.2,16.5,65.3,0.0,22.3,Partially cloudy
Sep,2020,26.6,14.9,52.5,0.0,27.7,Clear
Sep,2020,27.2,13.4,44.7,0.0,27.7,Partially cloudy
Sep,2020,19.2,13.3,69.5,0.0,50.0,Partially cloudy
Sep,2020,6.5,4.6,88.3,5.06,40.6,"Rain, Overcast"
Sep,2020,9.4,6.3,81.5,0.295,29.3,"Rain, Partially cloudy"
Sep,2020,17.0,10.2,65.4,0.0,20.4,Partially cloudy
Sep,2020,20.8,13.6,66.4,0.0,20.3,Partially cloudy
Sep,2020,22.1,14.5,66.3,0.0,18.3,Partially cloudy
Sep,2020,20.6,14.0,68.0,0.0,14.8,Partially cloudy
Sep,2020,21.6,12.1,57.1,0.0,14.7,Partially cloudy
Sep,2020,23.3,11.9,53.1,0.0,25.8,Partially cloudy
Sep,2020,21.9,12.7,60.3,0.0,27.4,Partially cloudy
Sep,2020,20.2,10.8,58.1,0.0,20.5,Partially cloudy
Sep,2020,18.3,9.6,59.1,0.0,25.7,Partially cloudy
Sep,2020,18.9,9.7,59.3,0.0,24.0,Clear
Sep,2020,18.2,7.6,54.4,0.0,18.2,Clear
Sep,2020,19.2,9.6,60.5,0.0,18.3,Clear
Sep,2020,21.7,13.8,64.5,0.0,25.7,Partially cloudy
Sep,2020,22.8,8.4,50.8,0.0,24.1,Clear
Sep,2020,26.2,6.1,32.7,0.0,29.4,Clear
Sep,2020,26.9,10.7,42.6,0.0,31.6,Clear
Sep,2020,24.0,8.3,39.3,0.0,53.5,Partially cloudy
Sep,2020,15.5,-1.8,32.3,0.0,55.0,Partially cloudy
Sep,2020,16.0,-4.1,29.0,0.0,26.0,Clear
Sep,2020,21.1,-2.0,24.2,0.0,18.3,Clear
Oct,2020,18.3,1.5,35.4,0.0,35.2,Clear
Oct,2020,18.3,2.7,37.3,0.0,31.7,Partially cloudy
Oct,2020,19.6,6.5,44.7,0.0,37.0,Partially cloudy
Oct,2020,17.1,2.9,40.9,0.0,22.3,Partially cloudy
Oct,2020,20.8,6.0,42.3,0.0,29.5,Clear
Oct,2020,21.7,6.7,41.8,0.0,22.3,Clear
Oct,2020,22.6,3.6,35.6,0.0,22.3,Clear
Oct,2020,22.6,6.3,36.6,0.0,33.3,Clear
Oct,2020,22.4,6.4,38.9,0.0,25.9,Clear
Oct,2020,24.7,-0.4,24.2,0.0,20.5,Clear
Oct,2020,24.1,-3.4,18.7,0.0,48.1,Clear
Oct,2020,18.3,-5.1,21.5,0.0,33.5,Clear
Oct,2020,21.6,-2.8,21.6,0.0,27.7,Clear
Oct,2020,25.1,-0.7,28.5,0.0,53.3,Clear
Oct,2020,15.8,-2.2,30.7,0.0,38.7,Clear
Oct,2020,12.0,-4.2,35.8,0.0,31.6,Clear
Oct,2020,20.6,-2.0,26.3,0.0,38.8,Clear
Oct,2020,14.4,3.7,49.9,0.0,29.5,Partially cloudy
Oct,2020,11.0,6.3,74.7,0.0,22.2,Partially cloudy
Oct,2020,16.7,10.7,72.9,0.295,31.6,"Rain, Partially cloudy"
Oct,2020,21.4,14.4,67.6,0.0,38.8,Partially cloudy
Oct,2020,23.1,13.0,56.7,0.0,35.1,Partially cloudy
Oct,2020,9.0,1.4,59.8,0.0,49.8,Partially cloudy
Oct,2020,10.2,-0.3,51.8,0.0,31.7,Partially cloudy
Oct,2020,9.5,3.7,68.7,0.0,37.0,Partially cloudy
Oct,2020,-2.6,-4.0,90.4,1.115,38.5,"Snow, Rain, Overcast"
Oct,2020,-3.4,-4.9,89.3,11.649,33.2,"Snow, Rain, Overcast"
Oct,2020,0.7,-0.7,91.2,6.324,44.3,"Snow, Rain, Overcast"
Oct,2020,7.6,1.3,67.1,0.0,50.0,Partially cloudy
Oct,2020,10.5,2.8,61.6,0.0,24.0,Partially cloudy
Oct,2020,15.0,3.3,50.2,0.0,29.5,Partially cloudy
Nov,2020,11.9,1.5,53.0,0.0,20.5,Partially cloudy
Nov,2020,13.4,2.3,50.4,0.0,27.7,Partially cloudy
Nov,2020,15.7,2.7,44.1,0.0,33.4,Partially cloudy
Nov,2020,18.2,3.1,41.3,0.0,29.4,Partially cloudy
Nov,2020,17.3,0.2,37.4,0.0,27.6,Clear
Nov,2020,14.9,2.2,46.6,0.0,18.3,Partially cloudy
Nov,2020,16.3,9.1,64.6,0.0,40.6,Clear
Nov,2020,18.5,10.4,62.5,0.0,44.4,Partially cloudy
Nov,2020,19.8,9.4,56.9,0.016,38.7,"Rain, Partially cloudy"
Nov,2020,10.9,-8.8,27.0,0.0,40.6,Clear
Nov,2020,10.1,-8.3,29.1,0.0,22.3,Clear
Nov,2020,12.6,-4.5,34.0,0.0,33.2,Partially cloudy
Nov,2020,7.9,-0.1,57.3,0.0,25.9,Partially cloudy
Nov,2020,16.8,0.6,41.7,0.0,48.2,Partially cloudy
Nov,2020,8.8,-9.3,30.0,0.0,29.6,Clear
Nov,2020,12.4,-7.9,24.9,0.0,23.9,Clear
Nov,2020,12.4,-2.5,37.3,0.0,37.0,Partially cloudy
Nov,2020,16.1,3.3,44.2,0.0,37.0,Partially cloudy
Nov,2020,18.7,7.6,53.2,0.0,35.3,Clear
Nov,2020,15.0,4.9,54.6,0.0,33.3,Clear
Nov,2020,13.4,8.2,71.6,0.0,27.5,Partially cloudy
Nov,2020,9.6,6.6,81.8,0.0,31.5,Overcast
Nov,2020,8.8,7.4,91.1,0.885,31.6,"Rain, Overcast"
Nov,2020,13.9,4.9,61.3,0.0,49.9,Partially cloudy
Nov,2020,8.0,-3.6,48.5,0.0,29.5,Clear
Nov,2020,11.4,-5.2,36.2,0.0,42.2,Partially cloudy
Nov,2020,7.7,-1.7,51.7,0.0,37.0,Partially cloudy
Nov,2020,3.9,0.9,81.4,1.637,22.2,"Rain, Partially cloudy"
Nov,2020,4.5,-0.5,70.9,0.0,42.5,Partially cloudy
Nov,2020,2.7,-8.3,50.5,0.0,27.7,Clear
Dec,2020,7.9,-9.7,29.3,0.0,36.9,Clear
Dec,2020,1.9,-5.5,58.7,0.0,46.3,Partially cloudy
Dec,2020,0.9,-5.4,63.7,0.0,37.0,Partially cloudy
Dec,2020,2.4,-10.3,47.2,0.0,18.2,Clear
Dec,2020,4.5,-5.9,48.2,0.0,22.4,Partially cloudy
Dec,2020,6.9,-5.4,45.5,0.0,20.5,Partially cloudy
Dec,2020,7.0,-7.5,41.1,0.0,16.6,Clear
Dec,2020,8.3,-8.6,35.3,0.0,14.7,Clear
Dec,2020,9.7,-10.8,27.7,0.0,20.5,Clear
Dec,2020,10.8,-5.5,36.3,0.792,38.6,"Rain, Partially cloudy"
Dec,2020,7.0,0.3,64.8,0.0,22.2,Partially cloudy
Dec,2020,3.1,-2.7,68.3,0.0,38.7,Partially cloudy
Dec,2020,0.7,-3.0,76.7,0.015,42.4,"Snow, Rain, Partially cloudy"
Dec,2020,0.5,-7.6,59.1,0.0,38.9,Partially cloudy
Dec,2020,0.1,-7.0,59.6,0.0,55.2,Partially cloudy
Dec,2020,0.2,-9.9,52.3,0.0,24.0,Clear
Dec,2020,4.0,-9.7,42.9,0.0,36.8,Partially cloudy
Dec,2020,7.3,-3.2,47.9,0.0,40.3,Partially cloudy
Dec,2020,4.7,-3.8,59.4,0.0,27.5,Clear
Dec,2020,5.6,-8.0,40.4,0.0,25.8,Clear
Dec,2020,7.5,-9.1,32.6,0.0,27.6,Partially cloudy
Dec,2020,9.3,-9.2,31.6,0.0,42.2,Partially cloudy
Dec,2020,4.6,-12.1,29.8,0.0,49.9,Partially cloudy
Dec,2020,1.0,-16.9,30.7,0.0,35.3,Clear
Dec,2020,5.8,-15.8,20.9,0.0,25.9,Partially cloudy
Dec,2020,7.5,-17.4,17.0,0.0,42.4,Clear
Dec,2020,11.2,-8.7,24.8,0.0,31.5,Partially cloudy
Dec,2020,6.1,-1.9,57.0,0.0,38.6,Partially cloudy
Dec,2020,10.6,5.7,75.1,0.0,38.8,Partially cloudy
Dec,2020,2.5,-4.4,62.3,1.082,46.1,"Snow, Rain, Overcast"
Dec,2020,0.4,-10.0,48.6,0.0,29.4,Overcast
Jan,2021,3.6,-12.6,31.0,0.0,33.4,Partially cloudy
Jan,2021,6.0,-12.5,28.7,0.0,35.3,Partially cloudy
Jan,2021,6.7,-10.6,30.1,0.0,25.8,Partially cloudy
Jan,2021,8.4,-7.8,32.5,0.0,38.8,Clear
Jan,2021,7.1,-4.1,47.3,0.0,31.7,Partially cloudy
Jan,2021,6.1,-5.9,45.7,0.0,48.1,Partially cloudy
Jan,2021,1.9,-10.6,42.0,0.0,18.3,Clear
Jan,2021,-0.6,-3.6,81.7,0.0,16.5,Partially cloudy
Jan,2021,-2.3,-3.8,90.1,1.377,29.3,"Snow, Rain, Overcast"
Jan,2021,-1.8,-3.1,90.9,15.802,29.4,"Snow, Rain, Overcast"
Jan,2021,-1.9,-4.8,80.6,0.0,20.3,Partially cloudy
Jan,2021,-3.9,-6.4,83.0,0.0,20.3,Clear
Jan,2021,1.5,-3.6,70.6,0.0,27.7,Partially cloudy
Jan,2021,5.0,-4.4,53.3,0.0,50.1,Partially cloudy
Jan,2021,1.7,-9.0,49.4,0.0,42.5,Clear
Jan,2021,1.8,-6.6,57.6,0.0,18.2,Partially cloudy
Jan,2021,2.8,-5.0,59.8,0.0,20.5,Partially cloudy
Jan,2021,6.7,-3.3,51.1,0.0,37.0,Partially cloudy
Jan,2021,5.0,-4.8,49.6,0.0,35.1,Overcast
Jan,2021,7.1,-1.7,54.1,0.0,31.6,Overcast
Jan,2021,12.1,1.3,49.4,0.0,31.6,Partially cloudy
Jan,2021,4.5,1.3,80.9,0.0,20.4,Partially cloudy
Jan,2021,7.4,4.8,85.3,0.0,33.4,Partially cloudy
Jan,2021,7.7,6.6,92.7,7.383,25.8,"Rain, Overcast"
Jan,2021,6.5,-0.8,63.5,0.984,48.1,Rain
Jan,2021,2.4,-2.8,70.8,0.0,31.6,Partially cloudy
Jan,2021,2.1,-4.7,62.8,0.0,27.6,Partially cloudy
Jan,2021,3.4,-2.9,66.8,0.0,31.6,Partially cloudy
Jan,2021,7.4,-0.4,59.5,0.0,31.5,Partially cloudy
Jan,2021,10.8,-1.2,48.8,0.004,72.2,"Rain, Partially cloudy"
Jan,2021,6.5,-2.9,54.6,0.0,33.5,Clear
Feb,2021,6.7,-4.6,49.6,0.0,24.0,Partially cloudy
Feb,2021,12.8,-3.9,33.1,0.0,24.1,Partially cloudy
Feb,2021,14.9,0.9,41.9,0.0,39.0,Partially cloudy
Feb,2021,9.1,-3.5,42.4,0.0,42.4,Partially cloudy
Feb,2021,6.5,-7.6,40.0,0.0,24.1,Clear
Feb,2021,7.5,-10.0,31.1,0.0,46.4,Clear
Feb,2021,9.1,-7.3,45.3,0.0,27.4,Clear
Feb,2021,5.6,-3.2,56.9,0.0,29.4,Partially cloudy
Feb,2021,-0.8,-4.5,78.5,0.0,27.6,Partially cloudy
Feb,2021,-3.8,-4.9,92.6,0.0,27.5,Overcast
Feb,2021,-4.7,-7.3,82.7,0.0,22.2,Partially cloudy
Feb,2021,-8.0,-10.7,80.9,0.295,33.3,"Snow, Overcast"
Feb,2021,-8.8,-13.0,71.7,0.0,33.2,Overcast
Feb,2021,-14.1,-17.5,75.2,2.361,38.7,"Snow, Overcast"
Feb,2021,-14.9,-19.3,69.3,0.0,22.3,Partially cloudy
Feb,2021,-11.1,-13.5,82.5,3.682,29.4,"Snow, Overcast"
Feb,2021,-10.2,-12.4,84.4,0.0,18.3,Partially cloudy
Feb,2021,-9.8,-12.8,79.0,0.295,24.0,"Snow, Partially cloudy"
